wb_id;wb_name;wb_project;connection_id;ds_id;ds_name;connection_type;connection_username;ds_url;ds_type
e8c00fde-1dfa-45dc-8594-e4cea39b8eb9;IAV Revenus chaînés;04 - Ad Hoc;d4f3755f-c2c9-4cf0-baee-e95131178883;929bcd9f-afee-4ed3-9d0b-9a3862ada484;IAV_REVENUS_CHAINES (TABLEAU.IAV_REVENUS_CHAINES) (TABLEAU);snowflake;tableau;$embedded$_a214b134-087a-4200-a49a-658c7f1659f4;snowflake extract
318444e6-19f6-41e4-9d35-f3143a96dda0;Pages Atlas Update;04 - Ad Hoc;14cfccc2-c59b-4d64-bd99-72880061660f;5f6a4368-2771-4eed-a75f-ba5758f0715b;PAGE_ATLAS_UPDATED (TABLEAU.PAGE_ATLAS_UPDATED) (TABLEAU);snowflake;tableau;$embedded$_7f78d3cb-f462-4aae-957b-fcc554d1594e;snowflake extract
3d59a0de-f637-4952-883e-c848bec28760;Monito - MC Target monitoring;02 - Controlling Marketing;6dc9ecf1-858f-4102-b201-c92fa86ece17;a5e1399a-cbc3-426a-a783-780b22826820;MONITO_EMAILING_TARGET_TAB (TABLEAU.MONITO_EMAILING_TARGET_TAB) (TABLEAU);snowflake;tableau;$embedded$_f31cb877-a966-4d91-9dbc-f76a981d789a;snowflake extract
70454326-0674-49ed-8b07-071e34a8a149;Suivi - Hotlist Non Rachetées;07 - Outdated;7df3315f-b501-47df-b587-02e6af1710c9;b27429ca-1352-45df-a3f3-59fe89a1348e;Suivi Rachat HL;snowflake;tableau;$embedded$_a5039cdc-d157-48ff-9e85-1bf6f6c19d9b;snowflake extract
c3745790-af36-442a-b173-737a340c92c2;Suivi Headcount;08 - DAF;1eb6ac03-cc6d-4fe6-90a0-93b0c0daacad;10f08894-f281-4636-a4b7-10bfcb4fa97d;EMPLOYES_BAMBOO (DAF.EMPLOYES_BAMBOO) (ANA);snowflake;tableau;$embedded$_b8bda1da-921d-4dee-a4f7-061f89b47791;snowflake extract
c3745790-af36-442a-b173-737a340c92c2;Suivi Headcount;08 - DAF;672df31d-a604-43de-abe5-992ed7f785a8;e90f06a5-2bac-46e7-9f59-05c61e8a6731;EMPLOYES_CHECK (DAF.EMPLOYES_CHECK) (DAF);snowflake;tableau;$embedded$_b0adc8dc-173d-4fcf-8e58-e17f78319c5f;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;7a2ec3e6-2d7a-49cc-9d6c-cdc45d90d16a;582c2242-ec85-4c34-a92f-f4c3963019ef;COMPTA_GENE_BILAN_PNL (DAF.COMPTA_GENE_BILAN_PNL) (DAF);snowflake;tableau;$embedded$_46a8e26c-d898-4b85-8c05-43c34a6bc0b9;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;28d7cae1-f3f5-47bc-9075-fcd0ca38adbc;99dcf379-6502-4a6a-bc3c-55c5cf495d5b;MISSING_PNL_INTERCO (MONITO.MISSING_PNL_INTERCO) (MONITO);snowflake;TABLEAU;$embedded$_90be1c13-78d5-468b-80ba-05b11feaf069;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;36eec1e2-ba71-471a-a171-ac1b7419a026;96291a97-8188-4f5f-9d85-3476fe7e425f;MISSING_INTERCO (MONITO.MISSING_INTERCO) (MONITO);snowflake;TABLEAU;$embedded$_0b1b15f4-a371-4501-816d-11247a1bbce2;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;602aa466-e237-46ab-a7a3-e32432907ff8;9b6fe57f-bcf1-428c-b04f-c78b83e54748;MISSING_SOCIETES (MONITO.MISSING_SOCIETES) (MONITO);snowflake;TABLEAU;$embedded$_0135874e-742c-4f11-ad71-b7d228af66a9;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;9b89b345-9be4-4f99-92bf-1d1c76136202;09552a50-043d-4bd1-826d-84bd7e944d3c;MISSING_BPS (MONITO.MISSING_BPS) (MONITO);snowflake;tableau;$embedded$_64cdb54a-06f3-4e9b-803d-41d495860d55;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;c23785fa-ed44-4181-8601-6240db62b4af;91f55b3a-1fda-4774-a619-98a0b1d8e211;SAGE_INCOHERENCE_CPY_PCDP_NIV2 (SAGE_MONITO.SAGE_INCOHERENCE_CPY_PCDP_NIV2) (SAGE_MONITO);snowflake;tableau;$embedded$_fc885b91-76aa-475d-98e8-f680abe7634a;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;e6f6ac42-5e24-43ab-8852-02fcac869f8e;e1138cf8-2fb3-4dbf-bca8-7db53d3c3669;TROU_PCDP (SAGE_MONITO.TROU_PCDP) (SAGE_MONITO);snowflake;tableau;$embedded$_4dd45df0-b6bd-4162-a493-3c3ffebf4309;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;584ed3bc-3e22-498d-8002-95572b64bdf9;cc4a8554-cfdc-4c17-a0ff-d2c08da2b05e;MISSING_SERVICE (MONITO.MISSING_SERVICE) (MONITO);snowflake;TABLEAU;$embedded$_e517aa1f-c301-4577-9dab-8dbaaaa6d849;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;0a18c36a-520c-49f5-ad0e-7f4e31c3b88e;103e2f9f-2b73-4e9e-99ee-54f4e13323a1;SAGE_SERVICE_MANQUANT_PCDP_NIV5 (SAGE_MONITO.SAGE_SERVICE_MANQUANT_PCDP_NIV5) (SAGE_MONITO);snowflake;tableau;$embedded$_81b4a0c6-10e8-4bfd-b947-0d6f307c2fd0;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;5a0d0419-0408-44a0-bcf0-90474b7e4597;6ecebcd9-734f-48d1-892d-44710036e4a0;SAGE_INCOHERENCE_SAISIE_SERVICE_ET_CDP (SAGE_MONITO.SAGE_INCOHERENCE_SAISIE_SERVICE_ET_CDP) (SAGE_MONITO);snowflake;tableau;$embedded$_5438571e-eddd-499c-8271-7e54798431e1;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;157aa7c5-b881-4ee6-965e-b0157d526f1a;8954f553-78b6-4eb5-9505-8c52ec2a65f6;HEADCOUNT_EMPTY_SER (MONITO.HEADCOUNT_EMPTY_SER) (MONITO);snowflake;TABLEAU;$embedded$_8c6cca77-9fb7-4484-9067-d91c09b73553;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;346f735d-f02d-4fda-aa80-19b9f35e8d02;eede27b3-c30b-49ce-a365-7ef58d4feb01;MISSING_FILTRE_USER (MONITO.MISSING_FILTRE_USER) (MONITO);snowflake;TABLEAU;$embedded$_25c70608-af15-48b4-aa47-8aac76b2cfc2;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;ca7e747f-3ca9-4e09-b57d-7b302cb38098;99ba402a-8e77-4765-887d-1ac608daa30a;MISSING_TX_XCHANGE (MONITO.MISSING_TX_XCHANGE) (MONITO);snowflake;TABLEAU;$embedded$_60850034-1b40-45c6-a20f-c719c9cc12e5;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;ea82fc3a-aa02-49c8-9290-ee3d1f8df3b9;ca2cc8e8-719a-43a4-8af0-d0e64d3e8be1;MISSING_ACC_0 (MONITO.MISSING_ACC_0) (MONITO);snowflake;TABLEAU;$embedded$_446aa8bb-6569-4326-9647-0c88a597b64d;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;4e645802-a21f-4c5b-9df7-e8a24517f2f4;1e00932d-d3b9-4051-b6db-5037d2bed613;PNL_CONTROL (DAF.PNL_CONTROL) (DAF);snowflake;tableau;$embedded$_1898e5f4-9348-4c7b-80a8-7b2d9a37ea3e;snowflake extract
b245c081-1685-40ba-9ce1-e978f9210de8;Clôture;08 - DAF;ebe0ff2f-9f5d-4184-83a2-da1651aa3371;d5aa6f91-2e7c-4955-915a-3266f4de7ec2;Cross Promo;sqlproxy;;$embedded$_7be8a102-c610-4079-a957-c1ee79951456;Tableau datasource
c0ad0c70-8dc0-4022-8e0e-4da2e95ffb2d;Suivi Factures Fournisseurs;08 - DAF;4d5bae5e-7aa2-4d7a-a930-3152ef5756cb;fe85b72a-1fde-407e-a3b5-79be93891a37;SUIVI_FACTURES_FOURNISSEURS_DSI_SPLIT_PRESTA (SAGE_TABLEAU.SUIVI_FACTURES_FOURNISSEURS_DSI_SPLIT_PRESTA) (SAGE_TABLEAU);snowflake;tableau;$embedded$_5d123b4c-03c0-4df5-aa38-24d27ee6820f;snowflake extract
c0ad0c70-8dc0-4022-8e0e-4da2e95ffb2d;Suivi Factures Fournisseurs;08 - DAF;e5712d15-86a0-44f5-8a76-c042460a7428;985dc92e-84d9-4867-bd82-8b02981aae39;SUIVI_FACTURES_FOURNISSEURS_DSI (SAGE_TABLEAU.SUIVI_FACTURES_FOURNISSEURS_DSI) (SAGE_TABLEAU);snowflake;tableau;$embedded$_5c898ca0-d07d-42d6-a8b4-61498b1ca396;snowflake extract
c0390864-a2e8-4914-bc71-4b4c3593bdb1;Service Cloud;06 - Customer Service;b83c86b7-cd51-4d13-ba1e-e7d63ad6481d;9e90a5c6-02ba-4ecb-90f2-d13d01cc20d2;Service Cloud;sqlproxy;;$embedded$_d01b0abb-37ee-45a2-b529-a610faf54d39;Tableau datasource
c0390864-a2e8-4914-bc71-4b4c3593bdb1;Service Cloud;06 - Customer Service;016dc1b3-b765-4d36-8c8f-4ddc01e37ddc;4c74f236-9a11-4f22-87d8-bcafd3de2c88;Service Cloud - Evaluation;sqlproxy;;$embedded$_c19eb87b-a767-4948-bc9a-11b75c5f28c9;Tableau datasource
c0390864-a2e8-4914-bc71-4b4c3593bdb1;Service Cloud;06 - Customer Service;058a614d-835b-4992-b6fe-590340a8f636;412f8ef2-ead6-42a2-b5be-49387f0ba03d;Service Cloud - Solde Emails;sqlproxy;;$embedded$_88ccbf2c-e545-4341-8d9a-cb4f0ce0feec;Tableau datasource
c0390864-a2e8-4914-bc71-4b4c3593bdb1;Service Cloud;06 - Customer Service;aab95069-398e-4691-8b42-1bf37209e427;0a0a82ee-10af-4920-be92-674eb053150a;Service Cloud - Case History & Trace Record;sqlproxy;;$embedded$_537a0346-aba1-4bff-80e1-705915a506e5;Tableau datasource
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;8a6f5de4-7db6-45c7-a498-a51aa65e16c1;702c6ba5-e10f-4ed0-973c-e18d8e7684a0;KPIs Mensuels Affiliate;sqlproxy;;$embedded$_2f0067fb-34e4-497b-847f-aad91ef63a9f;Tableau datasource
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;5f3b2b6a-5a60-498d-a17c-7d9250abf7c4;c3463a72-a4bf-49a8-83f2-372e33e701b4;Service Cloud - Evaluation;sqlproxy;;$embedded$_94c45d31-040b-4eba-ad4c-154a98367e59;Tableau datasource
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;f490afc8-2a33-46d1-be6c-d711e34746e1;4f2751c3-c3b4-4b02-8e83-c4ec7c9dd082;Contract;sqlproxy;;$embedded$_85773153-bc7e-4a55-9d80-3452b7e7330e;Tableau datasource
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;c6f72357-4486-4bb2-8646-7d95c72be1e8;f3808a34-4986-4852-8a63-ef218e83a97f;Projections SRC import;googledrive;atourriere@vivara-sa.com;$embedded$_ed01c01e-afcf-4203-9c43-7a0a3bc2f4ff;
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;73c99da8-6272-42e4-95ca-b1a9b2ae60ae;ab84da45-3864-4948-af2b-397c24353df4;Service Cloud - Reçus;snowflake;tableau;$embedded$_e1aeb71b-8f44-4a08-ab1c-05a2be4aab48;snowflake extract
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;e14cbc38-fa6d-4121-82d8-d39c76ed3d38;71fc044c-1e02-441b-957a-0348c14b6568;Service Cloud - Reçus - Natifs;snowflake;tableau;$embedded$_6c0fcb77-1449-469a-987e-5e6d59e5e7d4;snowflake extract
35cdcfe2-d7e4-4003-9789-e90bb2c694c9;Cockpit SRC;06 - Customer Service;67f6392e-162a-4352-a115-1f5103533fca;722d2779-5541-4b60-8c6b-0595988928ba;Service Cloud - Traités;snowflake;tableau;$embedded$_d6c0fa85-9e81-45c2-8732-df596d800437;snowflake extract
a6056ca2-bc9d-421a-992b-986ba021041c;P&L Cockpit;08 - DAF;8cc1b4e8-5a2f-4fbc-a9b2-de93d8fc1bf2;fd96f317-58e2-4cc4-a34e-36471d7589c6;KPIs Mensuels Affiliate;sqlproxy;;$embedded$_468c2811-96cb-4138-bb75-e058eca4e01d;Tableau datasource
a6056ca2-bc9d-421a-992b-986ba021041c;P&L Cockpit;08 - DAF;76278b17-e7a3-45c5-823b-f3248b0c13dd;a64c3e3f-340a-49ad-a418-a0c777cedef8;PNL_COCKPIT (DAF.PNL_COCKPIT) (DAF);snowflake;tableau;$embedded$_fa6081bb-8c40-47c9-b77f-4791c0de05f0;snowflake extract
fd86b6b7-5bdd-4fe4-b213-c20676e638de;Analyse Cohortes NTX;04 - Ad Hoc;7c1bcfd1-437d-414e-ad02-af60e6cbb0f9;3dbc3200-4452-4493-9459-8f7e4f3cbb34;NTX_CONTRACTS_COHORT (GWENAEL.NTX_CONTRACTS_COHORT) (GWENAEL);snowflake;TABLEAU;$embedded$_d11b6484-d704-439a-9eea-53c136f373e6;snowflake extract
fd86b6b7-5bdd-4fe4-b213-c20676e638de;Analyse Cohortes NTX;04 - Ad Hoc;abbde675-b6dd-40bc-bc7a-11eb1f733040;05b26c5e-8716-4c54-9217-c54ce873287d;CONTRACTS_DEEPEST_COHORT_MONTH_V3 (AUDREY.CONTRACTS_DEEPEST_COHORT_MONTH_V3) (AUDREY);snowflake;TABLEAU;$embedded$_2a39e4d8-e74b-4305-8f06-d5f1ea3b7db0;snowflake extract
824805f5-10cd-43ef-b6a0-e15784d984cd;Performance LDV Landings;10 - BI;e9e6d9ab-5d1f-4850-abc7-7c0f77e54090;b02e5e98-a61c-4242-8fd2-a1518fa32cf1;PERFORMANCE_LANDINGS_LDV (TABLEAU.PERFORMANCE_LANDINGS_LDV) (TABLEAU);snowflake;TABLEAU;$embedded$_7e99bbb7-f8af-42cb-b84d-89e1a094c50c;snowflake extract
a11b4dde-d7ba-47ea-9c4d-477523a3c5c1;Affiliate Specific OLI ;04 - Ad Hoc;1e6c7b5f-1324-4b88-b534-333160d991a5;58445326-dc87-4200-87e4-bf87cd603c95;Contract;sqlproxy;;$embedded$_25b046a5-47e4-4f9a-b3c2-86023562d091;Tableau datasource
950ea516-501b-4c4b-b3b8-50da3ed018b7;Erosion_Ventes_Platform;10 - BI;9c1b913c-9c45-4637-969d-f124d5b2c958;260f0efc-465d-4e25-bf18-6ba4be44133f;CONTRACTS_NTL_DEEPEST_COHORT_MONTH (GWENAEL.CONTRACTS_NTL_DEEPEST_COHORT_MONTH) (GWENAEL);snowflake;TABLEAU;$embedded$_d97cfc9e-4932-4810-a052-056b76a96b8f;snowflake extract
324b07a2-e9c8-4ff3-b0ed-91dad457fb9f;Monitoring Data Extension MàJ;07 - Outdated;d1a53bcb-accf-4fd5-96c0-27af9129caf3;f28dd9af-d0da-4e40-9411-93c2875cf87a;MULTI_SENT_DE (ANALYSE.MULTI_SENT_DE) (ANALYSE);snowflake;tableau;$embedded$_ce1368b9-ee5a-4f11-93eb-86bb4b9d1fd1;snowflake extract
37b1239b-1190-4f67-8122-5dc362ea7771;Monito - Mauvais Vendor;02 - Controlling Marketing;1988c20b-7f5b-4033-924b-beeef6c01a26;9588fb41-0c90-47f8-bbe4-a40fe72cb1f1;Tracking Check;snowflake;tableau;$embedded$_383fea02-5522-402f-938b-c0299b3bcd90;snowflake extract
b95bffd1-538a-476f-aad6-335f9938e0af;Suivi Gauntlet;03 - Controlling Technique;6af010bf-76b3-42e6-b85e-43f43204a4e5;c9ad24d2-d946-48c1-a639-0ad8c3d6b4ca;MC Job Fix (with BI_SUBS) | Projet : 01 - Marketing;sqlproxy;;$embedded$_b3aff6fa-c4fe-477b-a1c6-f4df3c8b2ba7;Tableau datasource
70fc14e8-63d7-4f76-b5cf-d1dac46ee3bb;Performance Lettres Vente;10 - BI;e77c4a2d-01f8-45d7-a967-7c95a99f583a;8fc22e8d-2dc2-4948-a75f-c0aa385a6b4d;PERFORMANCE_ALL_LDV (GWENAEL.PERFORMANCE_ALL_LDV) (GWENAEL);snowflake;TABLEAU;$embedded$_7032d394-956c-4fae-976d-785b6e14c5a3;snowflake extract
7e69c93e-9927-4359-bac6-a3c7d733c911;Monito - Parcours de Vente sans upsell ni cross-sell;02 - Controlling Marketing;1fd96672-703a-4d6e-8f5a-df6d5ce274f6;8841ea81-09b1-49a5-967f-bfc77a8d35cc;Campaign Stats au Jour;sqlproxy;;$embedded$_426be32b-55cd-406c-8b0d-7785d5f8dc6d;Tableau datasource
fd3a293a-427d-4be6-ba79-66dcdc46ab31;Affiliate Legal and Financial Setup;08 - DAF;0858cf1a-1be9-4d4a-8340-07f2574b9164;9daeb8bb-0d92-4014-9425-9fe13d62d7eb;LEGAL_FINANCIAL_SETUP (ANALYSE.LEGAL_FINANCIAL_SETUP) (ANALYSE);snowflake;tableau;$embedded$_11f70a93-a99a-408d-9c77-9e9f8a9c57d3;snowflake extract
49626f94-2e3e-4d7c-ba05-b3841ba62acf;Monito - Erreurs de ciblage 1 clic;03 - Controlling Technique;2d664bff-642f-4d06-ac59-2c9beed2e4e8;1c4df8e5-ed70-4d6c-9751-f78a717fc671;ONE_CLIC_SUR_CIBLES_SANS_ONE_CLIC (AUDREY.ONE_CLIC_SUR_CIBLES_SANS_ONE_CLIC) (AUDREY);snowflake;tableau;$embedded$_865be2b2-e750-4245-a7cb-e1ad1dde0809;snowflake extract
06839d66-8475-4ce0-b73e-5b07040bcbec;Monito - Emails sans footer d'inscription E-Letter;03 - Controlling Technique;9b4c6039-2980-446a-955c-e47daba882a1;b235fc33-83c4-4c0c-bfa3-49e8cc0882eb;MC Job Fix (with BI_SUBS);sqlproxy;;$embedded$_8fc7cf35-e6f3-4b69-aeaf-b1065f9814c4;Tableau datasource
1ae701c7-66be-4ad3-be6a-78c7f5b6898b;Monito - Leads manquants dans Curiosity;03 - Controlling Technique;b7f41e0c-8067-484b-acc2-b6b44439d0ff;3b0a126e-e103-467c-b33e-31ecaa2abf0e;Campaign Stats au Jour;sqlproxy;;$embedded$_c1cfac13-d8d7-4561-9b92-de9063deed68;Tableau datasource
8b41f805-7b62-455b-b084-53f6ade7ef1a;Snowflake Usage;10 - BI;dab49001-423a-44d5-91d8-aa93804adb39;bf9d62ce-e2f6-43be-a3e6-daa564e78006;WAREHOUSE_METERING_HISTORY (ACCOUNT_USAGE.WAREHOUSE_METERING_HISTORY) (ACCOUNT_USAGE);snowflake;tableau;$embedded$_6699d1fb-62c6-4a4e-aa68-80fcf027dba3;snowflake extract
8b41f805-7b62-455b-b084-53f6ade7ef1a;Snowflake Usage;10 - BI;a2c9e59a-b9a1-4e81-bf79-41017d599cb5;d27efe88-b948-44b5-aa5e-d56147ae9584;STORAGE_USAGE (ACCOUNT_USAGE.STORAGE_USAGE) (ACCOUNT_USAGE);snowflake;tableau;$embedded$_5fad5b5c-3e85-4ca6-8ced-76ea42732070;snowflake extract
9d0526fe-7a41-4f31-9e7c-5776d6310936;Dette abonnés;08 - DAF;fe167876-9ce8-4e6c-b8f3-16d8e056958f;86239556-87cc-47e4-a345-b016beedad7a;LEDGER_DETTE_ABO (DAF.LEDGER_DETTE_ABO) (DAF);snowflake;Tableau;$embedded$_85bc9126-e394-47cd-91a7-38e4e9ae6b26;snowflake extract
f3038504-c2b6-433f-bb63-c82b7418b1c6;Dépenses auteurs - GED;08 - DAF;8002ac0f-aa9e-4f21-82b7-e4d8ae138df7;d2aec2a4-4bb4-4ab7-aa1c-a696bf7813a8;AUTEURS_GED_PUBLICATIONS_FACTURES (DAF.AUTEURS_GED_PUBLICATIONS_FACTURES) (DAF);snowflake;tableau;$embedded$_b4508f2c-66c4-461e-9e08-bb19de471de1;snowflake extract
